Wall time,Step,Value
1652897688.9260144,192800,-46.5
1652897736.3726737,193800,-45.5
1652897831.433914,195800,-47.0
1652897840.8424366,196000,-47.0
1652897869.5165868,196600,-47.5
1652897907.6767056,197400,-47.5
1652897945.93577,198200,-47.0
1652897965.0652866,198600,-47.5
1652897984.2102706,199000,-48.0
1652898003.0664954,199400,-48.0
1652898031.6198184,200000,-48.0
1652898060.365948,200600,-47.5
1652898069.8017304,200800,-47.5
1652898079.1974757,201000,-47.5
1652898098.5291836,201400,-47.5
1652898165.146049,202800,-49.0
1652898184.1335907,203200,-49.5
1652898250.6830676,204600,-49.5
1652898288.4788358,205400,-50.0
1652898307.482038,205800,-50.0
1652898374.2654681,207200,-50.0
1652898383.6998656,207400,-50.0
1652898393.1023433,207600,-49.5
1652898450.0537727,208800,-49.0
1652898478.5104835,209400,-48.5
1652898574.2109995,211400,-47.5
1652898593.3212547,211800,-47.5
1652898612.446388,212200,-47.5
1652898631.4172537,212600,-47.5
1652898707.875796,214200,-48.0
1652898717.361595,214400,-48.0
1652898726.9591177,214600,-48.0
1652898736.577232,214800,-47.5
1652898774.5610442,215600,-48.0
1652898803.0628452,216200,-48.0
1652898860.3484578,217400,-47.5
1652898869.8412473,217600,-48.0
1652898975.248925,219800,-48.5
1652899013.296372,220600,-48.5
1652899032.4359663,221000,-48.0
1652899061.1281054,221600,-48.0
1652899080.1627219,222000,-48.5
1652899099.1284053,222400,-48.5
1652899127.7603178,223000,-48.5
1652899194.6504421,224400,-49.0
1652899204.251629,224600,-49.0
1652899233.1521938,225200,-49.5
1652899242.8641927,225400,-49.5
1652899261.94554,225800,-49.5
1652899271.702438,226000,-50.0
1652899300.380105,226600,-50.0
1652899319.8367152,227000,-49.0
1652899367.7831557,228000,-49.0
1652899434.4056754,229400,-48.5
1652899482.4740877,230400,-48.5
1652899491.9948823,230600,-48.5
1652899587.9435968,232600,-49.0
1652899607.0223053,233000,-48.5
1652899635.822829,233600,-48.0
1652899703.3938546,235000,-47.5
