# {"t_start": 1652815070.6562545, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,845.222222
-50.0,50,846.87211
-50.0,50,848.487441
-50.0,50,850.14657
-34.0,50,851.795738
-50.0,50,853.441765
-50.0,50,855.071621
-50.0,50,856.726552
-50.0,50,858.348005
-50.0,50,859.98762
-50.0,50,861.657606
-45.0,50,863.294557
-50.0,50,864.953822
-50.0,50,865.331754
-50.0,50,865.679512
-50.0,50,866.020104
-50.0,50,866.403258
-50.0,50,866.752375
-50.0,50,867.100226
-50.0,50,867.483993
-50.0,50,867.83016
-50.0,50,868.179936
-50.0,50,868.531671
-50.0,50,870.247151
-50.0,50,871.915092
-50.0,50,873.554544
-50.0,50,875.207436
-50.0,50,876.858941
-50.0,50,878.507413
-50.0,50,880.173083
-50.0,50,881.84373
-50.0,50,883.468361
-50.0,50,885.136216
-50.0,50,886.760962
-50.0,50,888.401291
-50.0,50,890.052318
-50.0,50,891.681516
-50.0,50,893.371937
-50.0,50,895.012987
-50.0,50,896.676966
-50.0,50,898.295641
-50.0,50,900.023486
-50.0,50,901.656554
-33.0,50,903.278252
-50.0,50,904.910677
-50.0,50,906.558864
-50.0,50,908.233205
-50.0,50,909.881549
-50.0,50,911.520486
-50.0,50,913.154321
-50.0,50,914.821328
-50.0,50,916.461624
-50.0,50,918.115701
-50.0,50,919.754935
-50.0,50,921.390594
-50.0,50,923.077967
-50.0,50,924.705606
-50.0,50,926.336548
-50.0,50,927.98137
-50.0,50,929.765975
-47.0,50,931.415991
-50.0,50,933.051025
-50.0,50,934.717633
-50.0,50,936.361481
-50.0,50,938.022268
-50.0,50,939.690479
-50.0,50,941.324736
-50.0,50,942.978604
-50.0,50,944.614793
-50.0,50,946.274172
-50.0,50,947.940588
-50.0,50,949.581488
-50.0,50,951.228277
-50.0,50,951.65701
-50.0,50,952.055328
-50.0,50,952.444759
-50.0,50,952.845579
-46.0,50,953.217078
-50.0,50,953.606811
-45.0,50,954.002841
-46.0,50,954.405691
-50.0,50,954.801608
-50.0,50,955.235285
-50.0,50,956.907011
-50.0,50,958.55186
-28.0,50,960.361938
-47.0,50,962.040683
-50.0,50,963.706277
-50.0,50,965.386719
-50.0,50,967.047911
-50.0,50,968.720253
-50.0,50,970.360769
-50.0,50,972.043808
-50.0,50,973.726619
-50.0,50,975.396948
-50.0,50,977.05882
-50.0,50,978.723122
-50.0,50,980.355145
-50.0,50,982.041086
-50.0,50,983.699538
-50.0,50,985.338897
-50.0,50,986.994674
-50.0,50,988.702448
-50.0,50,990.424688
-50.0,50,992.084489
-50.0,50,993.71567
-50.0,50,995.360444
-50.0,50,997.061261
-48.0,50,998.734079
-50.0,50,1000.376134
-50.0,50,1002.016767
-50.0,50,1003.656847
-48.0,50,1005.314315
-50.0,50,1006.955014
-50.0,50,1008.606999
-9.0,50,1010.2447
-50.0,50,1011.85975
-50.0,50,1013.488599
-50.0,50,1015.12774
-50.0,50,1016.747269
-50.0,50,1018.420581
-50.0,50,1020.153081
-50.0,50,1021.815079
-48.0,50,1023.470545
-50.0,50,1025.111614
-50.0,50,1026.78092
-50.0,50,1028.440578
-50.0,50,1030.099732
-50.0,50,1031.72186
-50.0,50,1033.395478
-50.0,50,1035.061821
-50.0,50,1036.713553
-50.0,50,1038.36746
-50.0,50,1038.763556
-50.0,50,1039.144672
-50.0,50,1039.502547
-50.0,50,1039.893203
-50.0,50,1040.290738
-50.0,50,1040.701432
-50.0,50,1041.089706
-50.0,50,1041.4471
-41.0,50,1041.836637
-50.0,50,1042.22481
-50.0,50,1043.852429
-50.0,50,1045.502642
-50.0,50,1047.16158
-50.0,50,1048.88836
-50.0,50,1050.537512
-50.0,50,1052.176512
-50.0,50,1053.815193
-50.0,50,1055.457265
-50.0,50,1057.093505
-50.0,50,1058.742096
-50.0,50,1060.387222
-50.0,50,1062.044738
-50.0,50,1063.707249
-50.0,50,1065.346479
-20.0,50,1066.989466
-47.0,50,1068.652158
-50.0,50,1070.268994
-50.0,50,1071.970031
-50.0,50,1073.604692
-50.0,50,1075.246061
-50.0,50,1076.901668
-39.0,50,1078.556505
-50.0,50,1080.285208
-50.0,50,1081.948529
-50.0,50,1083.592277
-50.0,50,1085.236416
-46.0,50,1086.866302
-50.0,50,1088.55547
-50.0,50,1090.179349
-50.0,50,1091.863607
-50.0,50,1093.511615
-50.0,50,1095.148405
-50.0,50,1096.784909
-50.0,50,1098.456032
-50.0,50,1100.153529
-50.0,50,1101.803701
-50.0,50,1103.451512
-50.0,50,1105.108902
-50.0,50,1106.740811
-50.0,50,1108.444706
-50.0,50,1110.195247
-50.0,50,1111.835408
-50.0,50,1113.521301
-50.0,50,1115.149974
-50.0,50,1116.803122
-50.0,50,1118.431726
-50.0,50,1120.108504
-50.0,50,1121.759023
-50.0,50,1123.385815
-50.0,50,1125.05515
-50.0,50,1125.395199
-50.0,50,1125.775172
-50.0,50,1126.168712
-50.0,50,1126.541806
-50.0,50,1126.914484
-50.0,50,1127.271979
-50.0,50,1127.633935
-50.0,50,1128.023281
-50.0,50,1128.376204
-50.0,50,1128.830531
-50.0,50,1130.487353
-50.0,50,1132.147022
-50.0,50,1133.80801
-50.0,50,1135.449091
-50.0,50,1137.10522
-50.0,50,1138.866753
-32.0,50,1140.547781
-50.0,50,1142.187366
-50.0,50,1143.848619
-50.0,50,1145.506884
-50.0,50,1147.133377
-50.0,50,1148.810407
-50.0,50,1150.460153
-50.0,50,1152.124068
-50.0,50,1153.800261
-50.0,50,1155.452851
-50.0,50,1157.092133
-50.0,50,1158.744335
-50.0,50,1160.388824
-50.0,50,1162.027487
-50.0,50,1163.663358
-50.0,50,1165.374515
-50.0,50,1166.991369
-50.0,50,1168.650192
-50.0,50,1170.429009
-50.0,50,1172.058352
-50.0,50,1173.740403
-50.0,50,1175.442557
-50.0,50,1177.087109
-50.0,50,1178.727558
-50.0,50,1180.39898
-50.0,50,1182.016747
-50.0,50,1183.678927
-50.0,50,1185.327442
-50.0,50,1186.975786
-50.0,50,1188.621999
-50.0,50,1190.276162
-50.0,50,1191.90464
-50.0,50,1193.531097
-50.0,50,1195.206225
-50.0,50,1196.86767
-50.0,50,1198.519963
-50.0,50,1200.269354
-50.0,50,1201.921931
-50.0,50,1203.572804
-50.0,50,1205.242447
-50.0,50,1206.894009
-50.0,50,1208.543145
-50.0,50,1210.188671
-50.0,50,1211.909898
-50.0,50,1212.307045
-50.0,50,1212.700834
-50.0,50,1213.085331
-43.0,50,1213.465369
-50.0,50,1213.839737
-50.0,50,1214.227948
-50.0,50,1214.614635
-50.0,50,1214.960543
-50.0,50,1215.348005
-50.0,50,1215.755597
-50.0,50,1217.37558
-50.0,50,1219.046401
-50.0,50,1220.698229
-45.0,50,1222.360484
-27.0,50,1224.000118
-50.0,50,1225.647427
-50.0,50,1227.273152
-50.0,50,1229.045439
-50.0,50,1230.722746
-50.0,50,1232.366185
-50.0,50,1234.024716
-50.0,50,1235.653957
-45.0,50,1237.30046
-50.0,50,1238.958609
-50.0,50,1240.604203
-50.0,50,1242.232744
-50.0,50,1243.855176
-50.0,50,1245.528925
-50.0,50,1247.149715
-50.0,50,1248.893482
-50.0,50,1250.552891
-50.0,50,1252.198761
-50.0,50,1253.839181
-50.0,50,1255.512568
-50.0,50,1257.136151
-50.0,50,1258.917592
-50.0,50,1260.561392
-50.0,50,1262.216629
-45.0,50,1263.855786
-50.0,50,1265.518355
-50.0,50,1267.148509
-50.0,50,1268.812181
-50.0,50,1270.450683
-50.0,50,1272.112501
-50.0,50,1273.773659
-50.0,50,1275.43737
-50.0,50,1277.104123
-50.0,50,1278.776549
-50.0,50,1280.473771
-50.0,50,1282.118058
-50.0,50,1283.820295
-50.0,50,1285.452408
-50.0,50,1287.13182
-50.0,50,1288.842949
-50.0,50,1290.572409
-50.0,50,1292.238948
-50.0,50,1293.872031
-50.0,50,1295.559969
-50.0,50,1297.193866
-50.0,50,1298.846093
-50.0,50,1299.232283
-50.0,50,1299.628038
-50.0,50,1300.000659
-50.0,50,1300.372583
-50.0,50,1300.774947
-50.0,50,1301.164168
-50.0,50,1301.528565
-42.0,50,1301.896981
-50.0,50,1302.24223
-50.0,50,1302.649208
-50.0,50,1304.292784
-50.0,50,1305.939795
-22.0,50,1307.609077
-50.0,50,1309.267619
-50.0,50,1310.929706
-50.0,50,1312.582799
-50.0,50,1314.233894
-50.0,50,1315.893919
-50.0,50,1317.55123
-50.0,50,1319.288816
-50.0,50,1320.945836
-50.0,50,1322.602334
-50.0,50,1324.268146
-50.0,50,1325.913082
-50.0,50,1327.573684
-50.0,50,1329.223657
-50.0,50,1330.867575
-50.0,50,1332.535526
-47.0,50,1334.184265
-50.0,50,1335.822791
-50.0,50,1337.439931
-50.0,50,1339.102565
-50.0,50,1340.754695
-50.0,50,1342.42621
-50.0,50,1344.068571
-50.0,50,1345.73187
-50.0,50,1347.401645
-50.0,50,1349.123396
-50.0,50,1350.800457
-50.0,50,1352.440287
-46.0,50,1354.113551
-50.0,50,1355.752565
-50.0,50,1357.406174
-50.0,50,1359.098999
-50.0,50,1360.723792
-50.0,50,1362.408458
-48.0,50,1364.106297
-50.0,50,1365.744706
-50.0,50,1367.357129
-50.0,50,1369.01732
-42.0,50,1370.658229
-50.0,50,1372.294798
-50.0,50,1373.960849
-50.0,50,1375.597899
-50.0,50,1377.243433
-50.0,50,1378.988777
-50.0,50,1380.623616
-50.0,50,1382.279943
-50.0,50,1383.93324
-50.0,50,1385.593328
-50.0,50,1385.959176
-50.0,50,1386.310989
-50.0,50,1386.698239
-50.0,50,1387.094586
-50.0,50,1387.459133
-50.0,50,1387.825911
-50.0,50,1388.206634
-50.0,50,1388.569563
-46.0,50,1388.951909
-50.0,50,1389.308863
-50.0,50,1390.976453
-50.0,50,1392.60835
-50.0,50,1394.26246
-50.0,50,1395.876414
-50.0,50,1397.528193
-44.0,50,1399.198709
-46.0,50,1400.867256
-50.0,50,1402.524397
-17.0,50,1404.157325
-50.0,50,1405.799577
-50.0,50,1407.434081
-50.0,50,1409.1718
-50.0,50,1410.827861
-50.0,50,1412.465543
-50.0,50,1414.098634
